Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Strawberry,Total,state_address,street,Zip_Code
37,2021-01-17,23:19:33,Patricia,Jackson,Female,justinbooker@example.com,028-438-42317,Slovenia,YES,Strawberry,2.5,2.5,Idaho, 686 Meyer Cove Apt. 000, 14576
254,2021-01-19,19:01:01,Melissa,Parker,Female,kellihamilton@example.com,408-979-06475,Turkey,YES,"Apple,Banana,Strawberry,Cherry,Pineapple",1.4,9.8,Maine, 8601 Bryan Brook, 09103
125,2021-01-27,15:14:43,Richard,Martinez,Female,kristin09@example.org,717-722-82796,Kuwait,YES,"Cherry,Strawberry,Mango,Peach",2.6,8.2,Alaska, 843 Sherry Lane, 82136
131,2021-03-09,17:54:49,George,Collins,Female,phillipsrobert@example.net,479-490-29081,Korea,YES,"Cherry,Peach,Strawberry,Banana",2.1,6.6000000000000005,Louisiana, 5905 Lane Land Suite 235, 74027
60,2021-03-13,09:33:52,Carol,Moore,Male,aguilarpamela@example.org,879-771-58917,Palau,YES,"Banana,Grapes,Strawberry",1.7,5.1000000000000005,New Hampshire, , 18186
432,2021-03-24,05:47:29,Linda,Carter,Male,xsanders@example.org,877-770-10111,Mali,YES,"Pineapple,Orange,Strawberry,Grapes",2.3,7.799999999999999,New Jersey, 239 Salazar Drive, 08374
277,2021-04-26,19:32:58,Anthony,Thompson,Female,perrydenise@example.net,837-460-16628,San Marino,YES,"Apple,Strawberry",2.2,4.2,Alabama, 698 Sean Crossroad, 
147,2021-05-10,08:10:18,Ashley,Williams,Female,diane33@example.org,854-644-88346,Saudi Arabia,YES,"Apple,Strawberry,Mango",1.7,4.9,Colorado, 211 Hannah Gardens Suite 001, 
234,2021-05-15,11:22:53,Daniel,Carter,Male,codyperry@example.com,228-560-26559,Western Sahara,YES,"Strawberry,Orange,Cherry",2.2,5.5,New York, , 28289
323,2021-05-21,22:44:45,Susan,Walker,Male,milleremily@example.org,272-623-93561,Svalbard & Jan Mayen Islands,YES,Strawberry,2.7,2.7,Massachusetts, 64175 Jones Shoals Suite 838, 88944
83,2021-07-08,05:15:24,Susan,Brown,Female,yhenry@example.org,318-818-28856,India,YES,"Strawberry,Orange,Peach,Banana",1.3,6.1,Alaska, , 03269
34,2021-07-15,13:49:49,Steven,Allen,Male,jmarshall@example.net,983-874-26870,Hong Kong,YES,"Strawberry,Mango,Peach",2.5,6.800000000000001,Oregon, 923 Amanda Isle, 78387
340,2021-07-30,10:00:41,Emily,Green,Female,rhodestodd@example.net,497-443-85192,Zambia,YES,"Cherry,Blueberry,Mango,Strawberry,Apple",1.5,10.3,Rhode Island, , 47048
46,2021-07-31,16:38:16,Brian,Lewis,Female,kimjones@example.net,838-438-41120,Ecuador,YES,"Pineapple,Mango,Blueberry,Apple,Strawberry",1.6,9.5,Minnesota, 99198 Bethany Lights Apt. 000, 09190
394,2021-08-01,18:56:36,Deborah,Lopez,Male,jacob88@example.org,663-584-26368,United Arab Emirates,YES,"Apple,Orange,Strawberry,Blueberry",2.6,10.0,Rhode Island, 7257 Villa Falls, 77112
246,2021-08-10,20:07:53,Kimberly,Rodriguez,Male,crystalmorgan@example.com,844-848-87896,Holy See (Vatican City State),YES,"Mango,Strawberry,Blueberry,Banana",1.4,7.1,Oklahoma, 06049 Christopher Course, 29754
164,2021-08-20,16:10:17,Brian,Perez,Male,gsmith@example.net,779-527-95746,Zambia,YES,"Grapes,Strawberry,Orange",1.5,5.300000000000001,Nevada, , 05859
56,2021-08-26,22:26:04,George,King,Male,jessicamurray@example.net,842-633-29486,Eritrea,YES,"Cherry,Banana,Strawberry",2.2,5.9,Georgia, , 
