Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Grapes,Total,state_address,street,Zip_Code
220,2021-01-20,00:58:19,Patricia,White,Female,jeffrey06@example.net,130-209-33694,Panama,YES,"Pineapple,Grapes,Apple,Banana,Peach",1.3,8.5,Indiana, 5954 Vasquez Circles Suite 360, 99492
60,2021-03-13,09:33:52,Carol,Moore,Male,aguilarpamela@example.org,879-771-58917,Palau,YES,"Banana,Grapes,Strawberry",1.8,5.1000000000000005,New Hampshire, , 18186
432,2021-03-24,05:47:29,Linda,Carter,Male,xsanders@example.org,877-770-10111,Mali,YES,"Pineapple,Orange,Strawberry,Grapes",1.6,7.799999999999999,New Jersey, 239 Salazar Drive, 08374
82,2021-03-28,13:20:29,James,Phillips,Male,thomastaylor@example.com,784-829-24194,Morocco,YES,"Mango,Banana,Grapes,Cherry",1.5,7.2,Iowa, 149 Watts Underpass Suite 865, 87178
6,2021-04-14,19:49:19,Betty,Nelson,Male,robertclark@example.com,146-514-62466,Sudan,YES,"Mango,Banana,Grapes",1.6,5.1,Alaska, , 84981
276,2021-05-01,11:47:12,Barbara,White,Female,pjackson@example.net,811-739-68191,Egypt,YES,"Grapes,Cherry,Pineapple",1.3,5.800000000000001,Mississippi, , 26740
162,2021-06-07,09:40:01,George,Rodriguez,Male,marymiller@example.net,142-045-34586,Chad,YES,"Apple,Peach,Orange,Grapes,Cherry",1.5,8.7,Kentucky, 1611 Darrell Path Suite 572, 
494,2021-07-06,03:58:30,Ashley,Edwards,Female,justin92@example.com,542-306-77895,United States Virgin Islands,YES,"Apple,Grapes",2.6,5.300000000000001,Ohio, , 12996
164,2021-08-20,16:10:17,Brian,Perez,Male,gsmith@example.net,779-527-95746,Zambia,YES,"Grapes,Strawberry,Orange",1.7,5.300000000000001,Nevada, , 05859
268,2021-08-22,09:24:38,Donna,Roberts,Male,nathaniel69@example.org,154-883-17516,Marshall Islands,YES,"Grapes,Peach,Blueberry,Cherry,Orange",1.6,8.5,New Jersey, 64174 Kelly Vista, 30802
183,2021-09-06,00:20:34,Brian,Thompson,Male,butlergregory@example.net,540-935-90071,Gambia,YES,"Grapes,Pineapple,Strawberry",2.3,6.699999999999999,Rhode Island, 1687 Shawn Lakes Apt. 699, 38582
380,2021-09-14,04:42:40,Anthony,Hall,Female,millergabriella@example.com,774-689-57861,Togo,YES,"Pineapple,Strawberry,Grapes,Apple,Blueberry",2.1,10.5,Wisconsin, 484 Garcia Via, 70602
470,2021-09-16,21:34:34,Emily,Mitchell,Female,wilsonanne@example.org,853-460-18099,Solomon Islands,YES,"Mango,Peach,Orange,Grapes",2.3,8.5,Wyoming, 10551 Mitchell Haven, 38702
364,2021-11-02,10:18:42,Brian,Rodriguez,Female,richard46@example.com,670-293-42829,Zimbabwe,YES,"Grapes,Orange,Banana",1.5,5.7,New York, , 74291
30,2021-11-03,12:07:28,Jennifer,Allen,Male,andrew19@example.org,934-913-34610,Switzerland,YES,"Mango,Grapes,Strawberry,Banana,Cherry",2.3,10.999999999999998,Rhode Island, 718 Garcia Ferry, 76401
412,2021-11-28,22:11:03,Kimberly,Perez,Female,kyle52@example.org,208-679-82788,Hong Kong,YES,"Grapes,Peach,Blueberry",2.2,7.4,Indiana, , 
