Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Apple,Total,state_address,street,Zip_Code
254,2021-01-19,19:01:01,Melissa,Parker,Female,kellihamilton@example.com,408-979-06475,Turkey,YES,"Apple,Banana,Strawberry,Cherry,Pineapple",2.5,9.8,Maine, 8601 Bryan Brook, 09103
220,2021-01-20,00:58:19,Patricia,White,Female,jeffrey06@example.net,130-209-33694,Panama,YES,"Pineapple,Grapes,Apple,Banana,Peach",1.5,8.5,Indiana, 5954 Vasquez Circles Suite 360, 99492
329,2021-01-25,07:05:51,Kevin,Hall,Male,nicolejimenez@example.com,959-021-36566,Australia,YES,"Mango,Pineapple,Apple",2.1,5.0,Nevada, , 42184
61,2021-03-20,10:39:58,Emily,Johnson,Male,daniel81@example.net,065-586-37670,Ireland,YES,"Mango,Apple,Banana",1.7,5.4,Nebraska, 3031 Bennett Tunnel Suite 086, 88372
277,2021-04-26,19:32:58,Anthony,Thompson,Female,perrydenise@example.net,837-460-16628,San Marino,YES,"Apple,Strawberry",2.0,4.2,Alabama, 698 Sean Crossroad, 
147,2021-05-10,08:10:18,Ashley,Williams,Female,diane33@example.org,854-644-88346,Saudi Arabia,YES,"Apple,Strawberry,Mango",2.0,4.9,Colorado, 211 Hannah Gardens Suite 001, 
162,2021-06-07,09:40:01,George,Rodriguez,Male,marymiller@example.net,142-045-34586,Chad,YES,"Apple,Peach,Orange,Grapes,Cherry",1.4,8.7,Kentucky, 1611 Darrell Path Suite 572, 
494,2021-07-06,03:58:30,Ashley,Edwards,Female,justin92@example.com,542-306-77895,United States Virgin Islands,YES,"Apple,Grapes",2.7,5.300000000000001,Ohio, , 12996
340,2021-07-30,10:00:41,Emily,Green,Female,rhodestodd@example.net,497-443-85192,Zambia,YES,"Cherry,Blueberry,Mango,Strawberry,Apple",2.2,10.3,Rhode Island, , 47048
46,2021-07-31,16:38:16,Brian,Lewis,Female,kimjones@example.net,838-438-41120,Ecuador,YES,"Pineapple,Mango,Blueberry,Apple,Strawberry",2.4,9.5,Minnesota, 99198 Bethany Lights Apt. 000, 09190
394,2021-08-01,18:56:36,Deborah,Lopez,Male,jacob88@example.org,663-584-26368,United Arab Emirates,YES,"Apple,Orange,Strawberry,Blueberry",2.4,10.0,Rhode Island, 7257 Villa Falls, 77112
380,2021-09-14,04:42:40,Anthony,Hall,Female,millergabriella@example.com,774-689-57861,Togo,YES,"Pineapple,Strawberry,Grapes,Apple,Blueberry",1.8,10.5,Wisconsin, 484 Garcia Via, 70602
462,2021-10-12,06:32:05,Paul,Thomas,Male,stevenfriedman@example.org,118-233-84084,Tunisia,YES,Apple,1.5,1.5,Georgia, 1736 Amber Circles Apt. 314, 
233,2021-11-01,10:21:49,Sarah,Thompson,Male,stacy18@example.org,523-022-65435,Isle of Man,YES,"Apple,Peach,Pineapple",1.6,5.9,Vermont, 836 Cantrell Causeway Suite 846, 84887
279,2021-12-01,19:41:11,Elizabeth,Adams,Female,donna71@example.org,672-841-00004,Greenland,YES,"Apple,Blueberry,Peach,Mango,Pineapple",1.7,10.2,New Mexico, , 58019
347,2021-12-02,15:42:29,Lisa,Wright,Female,froach@example.net,653-615-12433,Slovenia,YES,"Grapes,Strawberry,Cherry,Pineapple,Apple",1.7,9.3,North Carolina, , 63748
464,2021-12-16,11:40:41,Joshua,Mitchell,Female,john27@example.com,919-875-14397,Antigua and Barbuda,YES,"Orange,Apple",1.7,3.0,South Dakota, , 
480,2021-12-22,09:28:41,Kimberly,White,Male,waltonmichael@example.org,561-785-85247,Zimbabwe,YES,"Cherry,Apple",2.1,4.7,Georgia, 537 Rebecca Terrace Suite 854, 
104,2021-12-27,01:05:36,Donna,Martin,Male,lynn79@example.net,167-257-17772,Maldives,YES,"Strawberry,Grapes,Cherry,Apple,Blueberry",2.4,9.8,New Hampshire, 1837 Martin Avenue Apt. 465, 57513
263,2022-01-06,11:34:08,Mary,Parker,Female,daniel19@example.com,068-122-37117,Heard Island and McDonald Islands,YES,"Mango,Cherry,Pineapple,Banana,Apple",1.5,9.7,Missouri, 575 Holmes Shores Suite 670, 
191,2022-01-27,02:25:13,Daniel,Turner,Female,stevenhenry@example.net,195-006-29452,United States of America,YES,"Apple,Peach,Blueberry",2.4,6.0,North Carolina, , 25785
397,2022-01-30,23:10:39,Kimberly,Harris,Male,mmcmahon@example.net,211-636-43234,Palestinian Territory,YES,"Peach,Strawberry,Apple",2.1,5.9,Alaska, 92345 Fox Row Suite 880, 84318
63,2022-02-03,19:59:43,James,Anderson,Male,carterralph@example.net,936-468-03909,Kenya,YES,Apple,1.4,1.4,Hawaii, 81441 Klein Manors, 97756
500,2022-02-13,19:51:34,William,Rodriguez,Female,sandramcdaniel@example.net,506-617-37287,New Zealand,YES,"Strawberry,Apple,Pineapple,Orange",2.4,7.699999999999999,Kentucky, , 68970
284,2022-02-17,02:39:08,Donna,Anderson,Male,tammydorsey@example.org,727-759-66170,Lao People's Democratic Republic,YES,Apple,1.4,1.4,Oklahoma, 58123 Brock Roads, 
252,2022-03-09,23:42:39,Amanda,Nelson,Female,brian97@example.net,718-970-99677,Philippines,YES,"Orange,Strawberry,Peach,Banana,Apple",2.4,8.4,Mississippi, , 24185
461,2022-04-05,01:29:41,Edward,Lopez,Male,tdawson@example.org,432-044-47614,Portugal,YES,"Apple,Orange,Blueberry,Cherry",2.6,9.7,Illinois, 13128 Anna Fork Suite 351, 51054
332,2022-04-05,21:46:02,Patricia,Thomas,Male,skinnermikayla@example.net,408-329-28222,Kazakhstan,YES,"Apple,Banana",1.7,3.2,Colorado, , 61398
267,2022-05-18,17:22:20,Jennifer,Anderson,Female,cody31@example.net,059-749-25813,France,YES,"Blueberry,Apple,Banana",2.1,6.2,Oregon, 69961 Tucker Lights Apt. 702, 23938
110,2022-05-20,21:49:05,Patricia,Brown,Female,mrodriguez@example.net,509-324-07036,Saint Kitts and Nevis,YES,"Banana,Cherry,Orange,Blueberry,Apple",1.6,8.7,Florida, , 30282
148,2022-06-11,10:09:08,Kevin,Perez,Male,warrencharles@example.org,763-169-90435,Liechtenstein,YES,"Orange,Blueberry,Pineapple,Grapes,Apple",1.9,10.4,Delaware, 882 Brian Mountains, 52791
360,2022-07-25,16:24:05,Christopher,Scott,Male,robert74@example.net,389-015-66387,United States Virgin Islands,YES,"Pineapple,Apple",2.6,5.1,Minnesota, , 66747
260,2022-08-02,16:49:12,Sandra,Mitchell,Female,walshbrittney@example.org,742-896-36361,Trinidad and Tobago,YES,Apple,1.3,1.3,Maine, 274 Cory Pike, 
496,2022-08-15,06:44:40,Nancy,Johnson,Female,oneillsean@example.org,458-510-22239,Gambia,YES,"Blueberry,Cherry,Apple",1.4,6.5,Texas, 9356 Thompson Inlet Apt. 054, 09757
154,2022-08-23,01:55:07,Kevin,Smith,Male,glenntaylor@example.net,451-260-52830,India,YES,"Apple,Pineapple,Strawberry,Cherry,Peach",1.6,8.6,Vermont, 3704 Singh Path Apt. 673, 55306
271,2022-09-18,11:08:51,Mary,Jones,Female,brownlisa@example.net,326-115-30488,Libyan Arab Jamahiriya,YES,"Apple,Grapes",2.0,3.2,Wisconsin, , 84635
35,2022-10-16,23:04:43,Paul,Campbell,Male,juanandrews@example.org,934-296-21722,Bhutan,YES,"Peach,Apple,Banana,Cherry",2.4,9.1,Indiana, 156 Nancy Spring, 64625
119,2022-10-19,05:32:19,Elizabeth,Adams,Female,sheila56@example.com,919-030-77393,Namibia,YES,"Apple,Mango,Orange",2.5,7.1000000000000005,Nebraska, 974 Christopher Roads, 
376,2022-12-02,10:06:15,Michael,Hall,Female,ysellers@example.net,451-324-49341,Vanuatu,YES,"Blueberry,Apple,Orange",1.4,5.2,Montana, 327 Erica Union Apt. 319, 
493,2023-01-30,23:37:41,Christopher,Taylor,Female,smithvicki@example.net,448-782-71835,Panama,YES,"Cherry,Apple",1.5,3.3,Tennessee, 360 Cassandra Haven Apt. 818, 32750
137,2023-03-09,16:58:52,Donald,Robinson,Male,kirkoconnor@example.net,835-142-08929,Suriname,YES,"Banana,Cherry,Apple,Peach",1.7,7.1,Colorado, 82605 Garza Station Suite 189, 
248,2023-03-24,11:23:05,Paul,Lewis,Female,wwilson@example.net,225-914-25342,Benin,YES,"Strawberry,Apple,Cherry,Grapes,Orange",1.9,8.6,Florida, , 
216,2023-04-15,23:29:07,Christopher,Roberts,Male,howardjoseph@example.net,758-876-53502,Antarctica (the territory South of 60 deg S),YES,"Orange,Peach,Apple,Strawberry",2.3,7.4,Oklahoma, 097 Linda Loop Suite 034, 36244
466,2023-04-19,09:12:09,Kimberly,Anderson,Male,wdavis@example.net,471-977-19489,Cote d'Ivoire,YES,"Apple,Banana,Cherry",1.7,5.0,Vermont, 7652 Glenn Street Apt. 925, 
1,2023-04-25,16:35:06,Christopher,Turner,Male,rpayne@example.net,579-830-76270,Iceland,YES,"Apple,Banana,Pineapple",2.1,6.1,Texas, 8184 Soto Trail Suite 117, 58052
199,2023-05-01,01:44:10,Jennifer,King,Female,kristinafleming@example.org,658-083-76045,Cape Verde,YES,"Apple,Blueberry,Strawberry",2.7,7.2,Delaware, 6892 Phyllis Underpass, 
105,2023-05-15,20:48:32,Linda,Wright,Female,smathis@example.com,195-743-20465,Sudan,YES,"Apple,Blueberry,Orange",2.5,6.2,South Carolina, 341 Nichole Alley, 
67,2023-05-18,10:22:18,Michael,Hall,Male,coryhughes@example.net,356-556-60872,Puerto Rico,YES,"Orange,Apple",2.6,4.9,North Dakota, 3519 Crystal Mill Apt. 014, 35421
84,2023-05-26,06:36:58,Elizabeth,Miller,Male,hharrington@example.net,811-405-88646,Sudan,YES,Apple,2.1,2.1,North Carolina, , 71744
289,2023-08-15,00:07:26,Steven,Collins,Male,wolfjesse@example.org,890-489-84321,Azerbaijan,YES,"Pineapple,Mango,Apple,Cherry",2.4,9.0,New Mexico, 552 Smith Mountain, 58088
28,2023-08-28,06:14:43,George,Lewis,Male,pellis@example.org,854-492-79469,Kazakhstan,YES,"Apple,Mango,Strawberry,Peach",1.2,7.8,Utah, , 80993
203,2023-09-14,04:21:47,Dorothy,Parker,Female,tdixon@example.net,493-936-90152,Northern Mariana Islands,YES,"Cherry,Apple",1.2,3.8,Arkansas, 4838 Andrea Estates Apt. 392, 86312
310,2023-09-25,18:41:53,William,Baker,Male,hutchinsonjennifer@example.org,006-382-80705,Saint Pierre and Miquelon,YES,"Apple,Cherry",2.3,3.6,Nebraska, 34607 Thomas Plaza Suite 753, 76724
290,2023-09-29,15:27:29,Joshua,Lopez,Male,kimknight@example.net,357-653-52880,Gambia,YES,"Banana,Cherry,Apple",2.3,6.7,Michigan, , 
96,2023-10-06,05:40:29,Christopher,Parker,Male,martin99@example.org,741-306-09144,Holy See (Vatican City State),YES,"Mango,Cherry,Strawberry,Apple",2.4,8.7,New Mexico, , 
149,2023-10-07,21:36:08,John,Lewis,Female,meghanjacobs@example.com,840-819-76534,Colombia,YES,"Orange,Strawberry,Banana,Pineapple,Apple",2.0,10.7,North Dakota, , 61767
5,2023-10-27,23:31:40,Elizabeth,Jackson,Male,caroline66@example.net,666-914-70647,Aruba,YES,"Strawberry,Banana,Apple,Peach,Cherry",1.8,8.799999999999999,Ohio, 9506 Charles Via Suite 840, 
383,2023-11-23,05:11:23,Margaret,Carter,Female,obrown@example.org,958-165-79498,Somalia,YES,"Banana,Mango,Apple",2.4,5.5,Missouri, 6338 Jefferson Lodge, 20089
168,2023-12-05,06:41:43,Paul,Harris,Male,vcole@example.com,414-089-42348,Mozambique,YES,"Peach,Apple,Grapes,Strawberry,Blueberry",1.4,8.999999999999998,New Mexico, 9453 Conley Ports Apt. 905, 62701
143,2023-12-10,15:54:35,James,Young,Male,briggs@example.com,648-647-81473,Monaco,YES,"Blueberry,Banana,Strawberry,Apple,Peach",1.4,9.8,Nebraska, 714 William Drives Suite 212, 43371
498,2023-12-23,20:29:47,Linda,Jackson,Female,jonathan11@example.org,869-943-27260,Netherlands Antilles,YES,"Cherry,Peach,Apple,Pineapple",1.4,8.3,Virginia, 069 Lauren Ways, 44018
171,2023-12-27,10:35:30,Carol,White,Male,kentconrad@example.org,037-164-13694,Antigua and Barbuda,YES,"Apple,Mango,Orange",1.2,5.0,New York, , 80229
387,2024-01-28,04:44:06,Susan,Williams,Female,tateteresa@example.com,361-580-11209,Uruguay,YES,"Apple,Mango,Grapes",1.8,5.7,New Mexico, , 14103
201,2024-04-03,11:22:52,Matthew,Roberts,Female,brendaclayton@example.net,290-286-24426,Korea,YES,"Apple,Pineapple",1.8,3.7,Missouri, 248 Bonnie Trail Apt. 786, 52693
146,2024-04-28,09:41:32,Elizabeth,Campbell,Male,smyers@example.com,654-423-05876,Ukraine,YES,"Cherry,Grapes,Pineapple,Apple",1.8,7.6,Alaska, 9564 Forbes Lane Apt. 537, 
419,2024-06-06,10:24:59,Patricia,Hill,Female,ujones@example.net,060-544-72024,Iceland,YES,"Blueberry,Grapes,Mango,Apple",2.4,8.4,Arizona, 2772 Ellis Groves Apt. 084, 
433,2024-06-10,15:48:53,Kevin,King,Female,michelevillanueva@example.net,330-317-45725,Congo,YES,"Pineapple,Cherry,Apple,Peach,Orange",1.6,9.4,Iowa, 1460 French Radial, 
295,2024-07-13,15:25:58,Sandra,Thompson,Female,andersonjohn@example.org,430-884-07453,Ukraine,YES,"Apple,Orange,Mango,Pineapple,Blueberry",2.2,9.1,North Dakota, 61913 Mathews Port, 07747
385,2024-09-16,02:14:13,Deborah,Scott,Female,clarkejennifer@example.org,562-853-54223,Pakistan,YES,"Blueberry,Mango,Apple,Cherry",2.3,6.699999999999999,Alaska, 142 Dustin Skyway, 07183
151,2024-10-09,12:06:10,Kenneth,Phillips,Female,karen15@example.net,411-149-03980,Taiwan,YES,"Grapes,Cherry,Pineapple,Blueberry,Apple",2.6,9.6,Maryland, 5181 Julian Overpass, 
85,2024-10-13,04:44:16,Sarah,Robinson,Female,qsmith@example.org,605-828-34337,Martinique,YES,"Apple,Blueberry",1.4,3.0,Arizona, 27874 Edward Ports, 
345,2024-10-18,19:01:12,Matthew,Walker,Male,rita69@example.net,213-932-26321,Cyprus,YES,"Banana,Apple,Cherry,Peach,Strawberry",1.9,9.3,Pennsylvania, , 55329
145,2024-11-28,15:45:05,Karen,White,Male,huntsue@example.net,162-509-13812,Tuvalu,YES,"Apple,Pineapple,Grapes",2.3,6.1,Michigan, 35787 Richard Center, 48494
434,2024-12-29,11:51:49,Jessica,Evans,Female,charlesalicia@example.com,125-444-18185,Ukraine,YES,"Orange,Apple,Grapes,Banana",1.3,7.1000000000000005,New Jersey, , 93722
93,2024-12-29,13:46:56,Matthew,Hernandez,Female,alyssablack@example.org,028-217-02531,Myanmar,YES,"Blueberry,Pineapple,Apple,Strawberry",2.1,8.2,Arkansas, 785 Harris Bypass, 68019
